"","from","Augur","Digix","Golem"
"280",5.55292688020857e+46,0,1,0
"281",5.61420573420986e+46,0,1,0
"282",5.62301451796349e+46,1,0,0
"283",5.63293489539624e+46,0,1,0
"284",5.63498063296452e+46,0,1,0
"285",5.64624158490896e+46,0,0,1
"286",5.71960956898161e+46,0,1,0
"287",5.73033734797862e+46,1,0,0
"288",5.73939444190446e+46,1,0,0
"289",5.74693629711968e+46,1,0,0
"290",5.77791166767483e+46,0,1,0
"291",5.79900330489015e+46,1,0,0
"292",5.80389036872013e+46,1,0,0
"293",5.81014575410618e+46,0,0,1
"294",5.85570022772608e+46,0,0,1
"295",5.86024526052247e+46,0,2,0
"296",5.9350990041764e+46,0,0,3
"297",5.93691137142896e+46,1,0,0
"298",5.951750427736e+46,0,0,4
"299",5.96100146336912e+46,2,0,0
"300",5.98035801783668e+46,0,1,0
"301",6.0380057761446e+46,0,4,0
"302",6.04686656892216e+46,0,0,3
"303",6.09446470304453e+46,0,0,1
"304",6.1020028481759e+46,0,1,0
"305",6.12301830688354e+46,0,0,7
"306",6.12998620898539e+46,0,4,0
"307",6.14675736572916e+46,0,1,0
"308",6.14970082991198e+46,3,1,0
"309",6.17190434625601e+46,0,0,1
"310",6.18330637002321e+46,1,0,0
"311",6.19243401471091e+46,1,0,0
"312",6.20124944161832e+46,0,1,0
"313",6.22462478716042e+46,0,1,0
"314",6.25709409405049e+46,1,0,0
"315",6.25942262003098e+46,1,0,0
"316",6.30420264920075e+46,2,0,0
"317",6.35260212140645e+46,0,1,0
"318",6.36651261756573e+46,0,4,0
"319",6.36939917316924e+46,0,3,0
"320",6.45727654679764e+46,0,1,0
"321",6.47141734316881e+46,0,1,0
"322",6.49973824917776e+46,0,1,0
"323",6.55612977851415e+46,0,1,0
"324",6.568232813457e+46,0,1,0
"325",6.58141952039181e+46,2,0,0
"326",6.6116459667366e+46,0,1,0
"327",6.62036360653302e+46,0,0,1
"328",6.66744837536156e+46,0,0,3
"329",6.69281358232438e+46,2,2,0
"330",6.69891194136543e+46,5,0,0
"331",6.74417337572317e+46,0,0,2
"332",6.77447408109481e+46,0,0,2
"333",6.78999916573542e+46,0,2,0
"334",6.80223441639371e+46,0,1,0
"335",6.84095667067219e+46,0,1,0
"336",6.85069115985599e+46,0,0,1
"337",6.85753957768173e+46,0,1,0
"338",6.8862789306085e+46,2,0,0
"339",6.88724109309717e+46,0,0,1
"340",6.94857065371416e+46,0,0,2
"341",6.96214264263893e+46,0,3,0
"342",6.99251444825777e+46,2,6,0
"343",7.08051483877685e+46,1,0,0
"344",7.09769927147069e+46,0,0,2
"345",7.13806450057847e+46,0,1,0
"346",7.19146076223447e+46,0,0,1
"347",7.21933660898599e+46,1,0,0
"348",7.23241265890999e+46,0,2,0
"349",7.25241103932601e+46,0,1,0
"350",7.27911427607737e+46,0,0,3
"351",7.28247014956937e+46,0,1,0
"352",7.30596418256428e+46,2,0,0
"353",7.32081634715206e+46,0,0,1
"354",7.39117543912982e+46,1,0,0
"355",7.39535278362373e+46,0,2,0
"356",7.4369004011512e+46,0,0,3
"357",7.5428128415486e+46,0,0,1
"358",7.58670352930206e+46,0,1,0
"359",7.66705340145671e+46,0,0,1
"360",7.67275373363975e+46,0,2,0
"361",7.67945837599766e+46,1,0,0
"362",7.70258580021138e+46,1,0,0
"363",7.72534069546714e+46,0,1,0
"364",7.72602267026391e+46,0,3,0
"365",7.75387135258598e+46,0,0,4
"366",7.76969893297969e+46,0,1,0
"367",7.76970716216205e+46,0,1,0
"368",7.77131612932631e+46,2,0,0
"369",7.80494771626243e+46,1,0,0
"370",7.82387991198179e+46,0,2,0
"371",7.8348145359376e+46,1,0,0
"372",7.84419667589022e+46,0,0,1
"373",7.94984643093241e+46,0,1,0
"374",7.96459272211922e+46,0,0,2
"375",7.9754845686125e+46,0,0,2
"376",7.97617972719338e+46,0,0,4
"377",8.02120977222081e+46,2,0,0
"378",8.03192413898942e+46,0,0,1
"379",8.05264793904502e+46,0,1,0
"380",8.07641181736164e+46,0,1,0
"381",8.12526022742409e+46,0,1,0
"382",8.12951586571947e+46,1,0,0
"383",8.14074632207786e+46,5,0,0
"384",8.14867230435003e+46,0,1,0
"385",8.17212951147039e+46,0,1,0
"386",8.19376811734219e+46,0,0,1
"387",8.22397657842869e+46,1,0,0
"388",8.23269153784627e+46,0,2,0
"389",8.27250328586326e+46,0,0,1
"390",8.32186877559497e+46,0,1,0
"391",8.32372734967706e+46,1,0,0
"392",8.36767172220506e+46,2,0,0
"393",8.40105896519787e+46,0,0,17
"394",8.40801202162797e+46,0,1,0
"395",8.42300310945123e+46,0,0,7
"396",8.42421190047084e+46,0,1,0
"397",8.44574344540957e+46,0,1,0
"398",8.48440282481855e+46,0,0,1
"399",8.48832163059318e+46,0,0,2
"400",8.50435328804643e+46,0,1,0
"401",8.52115702557061e+46,1,0,0
"402",8.55130255909501e+46,4,0,0
"403",8.56215463741145e+46,0,0,1
"404",8.5897096148594e+46,0,1,0
"405",8.61652771808566e+46,0,1,0
"406",8.63940072926016e+46,0,0,2
"407",8.65607525838964e+46,0,1,0
"408",8.6803939084069e+46,35,0,0
"409",8.7208267952828e+46,1,0,0
"410",8.72893092743598e+46,1,0,0
"411",8.73123134692332e+46,0,1,0
"412",8.75571417717497e+46,1,0,0
"413",8.80919615024094e+46,0,0,1
"414",8.84196832969763e+46,1,0,0
"415",8.84793617105422e+46,0,0,5
"416",8.84867310883071e+46,0,0,3
"417",8.86673547261405e+46,1,0,0
"418",8.87687023514101e+46,0,1,0
"419",8.90137859572209e+46,35,0,0
"420",8.91742471004529e+46,0,0,1
"421",8.92671759981777e+46,0,1,0
"422",8.93407460314506e+46,0,1,7
"423",8.93838937341921e+46,0,1,0
"424",8.95035517105193e+46,1,0,0
"425",8.95791385405094e+46,1,0,0
"426",8.96004492046126e+46,0,0,1
"427",8.96021216060531e+46,1,0,0
"428",9.01699276084801e+46,0,0,3
"429",9.07111269637774e+46,0,2,0
"430",9.07613052872456e+46,2,2,0
"431",9.09200608531777e+46,0,2,0
"432",9.1031381221043e+46,0,2,3
"433",9.16356611639536e+46,0,0,2
"434",9.17564306296127e+46,1,0,0
"435",9.26506713343112e+46,0,1,0
"436",9.28378401725992e+46,0,1,0
"437",9.29418597970859e+46,0,1,0
"438",9.38657913435014e+46,0,0,1
