,Augur,ICONOMI,Golem,Digix,Pluton (Plutus),SingularDTV,First Blood,VSice (VDlice),Hacker Gold (Ether.camp),Maker DAO,Chrono Bank,Unicorns (Ethereum Fundation),Xaurum,Acade City,Swarm City,Bitpark Coin,Round
0x0074575addaf3659754b35eb753f2dc4f28147f1,0,0,500000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0077ac2df76b58db908729ceb39203f9a8c8d983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00781b44fbc5e42a453475a24144bf91ba7c0a29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00783c56683b9fa8848faf5badfa0f7fe36a8fd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0079418d9dc201b95717806441698a949adb8fee,0,0,137112377856120300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00797bf8c45c3f773f7e4d2abbe5c1e85905200a,0,0,2965980000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0079c3143f72f44ece1adb9af8831ea732247b10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x007c6c254b6b7046d505cf9e13e6321ef78e64d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x007ceb60c944e1e313de191d319da9a2ba37f6fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x007f0b68c19bfc542b35bcf1384a65c3cb3a5eea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0081e06aff76d5ab6a9af633800595a73048c37e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x008417fafb93dc8e66df2448c32c5536ea9738aa,0,0,0,0,0,240494,0,0,0,0,0,0,0,0,0,0,0
0x008486d84e573e040f2317c3a74bf1226e9be78b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00851e1307beec160567f587c2ae6594a389099d,6011945440000000000,0,0,0,0,0,0,0,0,1183431952662721893,0,0,0,0,0,0,0
0x0086971942573dfaa88bca4a37b46a239164cacb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0086f157fd1bf1bbb179bdc29dc74d786d51d0da,0,435897435897436,0,450660,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00893e31debb7cb0720cef6d69171ddf3fbfda5d,0,0,9975114546090000000000,0,0,0,685244474490000000000,0,0,0,0,0,0,0,0,0,0
0x008bb302be3c62e0ffda89c10fdf8d1fd8304605,0,0,0,0,0,0,92983000000000000000000,0,0,0,0,0,0,0,0,0,0
0x008c4e2d07027d5875481e2bce06d93fecbc14d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x008c72cf6c0a096707384d19dcc60af7d02deed5,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
0x008d0adc4e087b9005857ab15c38202fdda62390,0,0,0,0,0,0,0,0,0,0,0,0,9787780000000,0,0,0,0
0x008d4360424c57ea4e11f07b95ee83d591570557,0,0,0,0,0,0,79795124506100000000000,0,0,0,98150000000,0,0,0,0,0,0
0x008e04a1efcbedfe39f33bab9bd7b584695fb5d9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0x008ea02a167782e454e1021d3771d3bedca3e3ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0092f33ffd3ea8a22492139b3fec8f71dd7eae9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0092fe4d0cd62aae879f4a8ec5ebe649fac240b0,0,0,130000000000000000000000,0,0,0,311480000000000,0,0,0,12795004970,0,0,0,0,0,0
0x0094378b691db9b4d6074870460ca466270b3cbe,4030316245549999995904,0,0,2001074827153,0,0,0,0,0,1000899801959487523099,0,0,0,0,0,0,0
0x009453274805995f911bbfc59d08c49defee1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00954e1c8fcf1c5c274aa10b1260a94564f47b58,0,0,3000000000000000000,1000000000,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00967daf1fd53e0bc0a7a72cd02535a23922ba57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00980104d621eb555e4ee67011dd1112234373a7,40000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00995ae79d60365b2a0c52a5ad19140dfb8d45f2,0,0,0,4284510936076,0,0,0,0,0,223974470951871180632,0,0,0,55937500000000000000,0,0,0
0x009ef96a441531d04199543555fb6d34169c5add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a09077141f07bb2b8abb23957a0e62ac551306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a14901ca721a2c173fdee4adac1dc311af2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a1b27aba96c12a8e7198a94b83c8a396d90158,0,0,0,0,0,0,0,0,0,8547471254026928,0,0,0,0,0,0,0
0x00a20a450a79a1f8b7e19858dd55712b47542ff6,0,1000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a46922b1c54ae6b5818c49b97e03eb4bb352e1,0,0,7238214581846096467620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a56132aaf6bc6a63ecec7a48300fbc27d8992b,0,0,0,0,0,0,0,0,0,0,437988612000,0,0,0,0,0,0
0x00a605cdf1a948bb7513af68e76712db0f4a963e,0,0,0,0,108542855833437712734510,0,0,0,0,0,0,0,0,0,0,0,0
0x00a8155db0a10126262884205e65fdca97fb5622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00a91eeda701d750b6817a72dbb78a1f61864d61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ab671b95627e3ee6b34cdd67577df3882f7ae4,1401390977041416500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00abc7754d6c8fde9981ed0ae210f9182e4054e2,0,3041068330000000000,1001783191470000000000,0,0,0,19336870000000000,0,0,0,391937019,0,0,0,0,0,0
0x00abe664b46d617a0a27b1b960c84f0c7c22322d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00acd53ca07fac06ef6cb4aec2a066e870f3777b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ade2ca72d9174ede21db006f9e52849c0933bc,0,0,0,0,0,0,0,0,0,0,0,0,97699350000000,0,0,0,0
0x00af99e4fac62c8e23069dd6b80142c94b3581f4,411529140000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00b0a37554976f25303adf7a715fb050f7d1d73d,10327136600000000000,0,10010958242162162000000,6082474226,0,0,0,0,0,2352033506006833461,0,0,0,0,0,0,0
0x00b3d1a0f7ec70e3f29086a92da6010a98f90e53,0,0,0,0,2261835750000000000,0,0,0,0,474567805474729996,0,0,0,0,0,0,0
0x00b426bd8844cc89ce607e7a83d48dfb77a4a502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00b44c5e2346a5de3026380ddd7e7f0617cce869,0,0,26817834000000000000000,0,0,0,30917495680000000000,0,0,0,3074817688,0,0,0,0,0,0
0x00b492c51efe2f6a9a5885cb2fc4ee0f58292941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00b526f093602e0469ceb97398108a2dd7208167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00b56d791276e91e5081d3b6bf1c938c3fd47b76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00b904efd69ff01214d63af0dcc0b5ee34149522,0,313800000000000000000,15370000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ba3dff8f7dbbf1d0888f9c117c04891619c073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ba6bd0c522d6b94db10b3c61a18620102155e8,0,0,9986217243232383264000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00bb5bc56756f6408366f480466506b94e634773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c04603b77b05865f77015aa3754e2800880542,0,0,1000000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c107bd9f7f79756fa17e1d1687a1327023f87c,0,0,3618516632508235171468000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c342266c11e898dd70fb9d3f947fc3699a81d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c5a971dafa5e8e2dcff0af9571e2dbe4f4a0bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c69a6c469c1fff4de249c5b5ad2d33ecbba048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00c6a3c4a48aa1fe7d7094545776919826a7134d,0,0,0,0,28662917108860759,0,0,0,0,0,0,0,0,0,0,0,0
0x00c77a599e432e7423072210391064a4b024e704,0,0,0,0,0,0,0,0,0,0,0,0,70000000,0,0,0,0
0x00c7997b99f2a45b61e3ab1167d95af8836d6fb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00cc3a5b51b3bfd035b735eafe6c2d4b6c07a463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00cd4b55220d8b6bbdc4f93df203828626dfdeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00cdc117d02a7b06c6432234c5d3edc398b076c5,0,0,189149711964541700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ced54b798311b34388e84b078ae584982eca84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00cf4926382b50db9d823e92f732a3c0005555ca,0,0,0,0,0,0,0,6125000000000000000000,0,0,0,0,0,8383000000000000000000,0,0,0
0x00cf5872a1ac503c7ea8071154acd36ac6fc34ee,0,0,0,0,0,0,0,0,0,1000000000000000000,0,0,0,0,0,0,0
0x00d25ec4b63d7c83c8e8703c6f0af28368c996bf,0,0,198000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00d3c68c18f067d594ed8f032dccb2f96ecd795c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00d72b4e269a18005b2350199600d8ad1185c7bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00d77a9fe86b4b7cedcd50b815db9697e2443b29,0,0,0,0,0,0,0,0,0,0,3375675700,0,0,0,0,0,0
0x00d7f5ea55fe60f672122a6ac4e2177c4b97d357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00d9fcd9bf9e3f70ab385b8ce96de1efb2fe5bfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00da1dd790fd52dff9d280309da48c80d9581fc1,0,0,10000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00da3577e418b023b619d7ae82c5ede0c6826f51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ded3853d98e3dc5c68074a447679cf8e314b91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00e091077f54177a86eed340c370da3b3c9a583c,0,0,0,0,0,0,0,0,0,0,0,0,850000000,0,0,0,0
0x00e237829eafff74ddda3879a9498b407c2e79ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00e307428042dc831229c0a4d74edc21d4ca8bc6,0,0,20000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00e3f8e167e5de09ec6bb58db232760750ac12e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00e77e497bbfd5326aecff3b599aff3444905497,10430036129999998976,9425182330000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00e79661f2d74b3b12e8308291847c46658905d0,0,0,850000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00eae48dd2fd054541957167b65c1fe294e17cda,0,0,107171593657610000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ec91ca58c06dfde5fda04f01a00c67bf539b7d,0,0,10000000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ed05fa49bf72ea65fc0a665e0e4ecc48bccdd5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ed4492b50578f364b7ce6e328efff3245eac8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00ee36f31b7815f1110d6b5d825092fa1be2149a,0,0,0,0,0,0,0,5663600000000000000000,0,0,0,0,0,0,0,0,0
0x00f03fa6a6923793a4b4655909cd5fb1ddb95d33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00f20c808ba81ed2d977f94a1334d3eb1d7d4c46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00f57bb24a86f9dda1a2cae1f482b4448239a873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00f7c76722d6f82f3cc15966e9930eb0478cc3d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00f853c2e2476848418d2c7436a0d42dbdba5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00f8835c4b92472d097705be9483c9ffd0d6d501,4100000000000000000,524700000000000000000,0,2916000000,0,6301,62500000000000000000,0,573300,0,0,0,0,0,0,0,0
0x00fb7a65fc70598052e75901119538af3f6579e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
